Problema encontrado,Registros afectados,Acción realizada,Justificación
Valores marcados como 'ERROR'/'UNKNOWN' (no son NaN de pandas),3256,Reemplazo global por NaN (df.replace),Unificar el criterio de dato faltante antes de imputar; dejarlos como texto rompería isna() y la conversión numérica.
Tipos de datos incorrectos (numéricos y fecha guardados como texto),"10,000 filas x 4 columnas (Quantity, Price Per Unit, Total Spent, Transaction Date)",Conversión con pd.to_numeric()/pd.to_datetime(),"Permitir operaciones aritméticas y de fecha, y detectar automáticamente valores no interpretables."
Valores faltantes en Item,969,489 recuperados cruzando el precio único del catálogo; el resto marcado como 'Desconocido',Cuando el precio es ambiguo (3.0 = Cake o Juice) no hay evidencia suficiente para asignar un producto sin adivinar.
Valores faltantes en Price Per Unit,533,479 recuperados desde el catálogo Item->Precio; 48 recuperados como Total/Quantity; 6 quedaron nulos,"El precio por producto es constante en todo el dataset: reconstruirlo desde el catálogo es una inferencia segura, no una invención."
Valores faltantes en Quantity,479,456 reconstruidos como Total Spent / Price Per Unit; 23 quedaron nulos,La relación Total = Cantidad x Precio se cumple en el 100% de los registros completos originales: es una reconstrucción algebraica confiable.
Valores faltantes en Total Spent,502,479 reconstruidos como Quantity x Price Per Unit; 23 quedaron nulos,Misma relación algebraica verificada sobre los datos originales completos.
Duplicados (fila completa y Transaction ID),0,"Verificación con duplicated(); no se encontraron duplicados, no se eliminó ninguna fila por esta causa",Cada Transaction ID es único por diseño; se documenta la verificación aunque no requirió corrección.
Valores faltantes en Payment Method,3178,Reemplazo por categoría explícita 'Desconocido',"~32% de nulos; imputar con la moda sesgaría el análisis de métodos de pago, y eliminar filas perdería datos válidos de venta."
Valores faltantes en Location,3961,Reemplazo por categoría explícita 'Desconocido',~40% de nulos; mismo criterio que Payment Method: preservar la fila sin inventar el canal de venta.
Fechas faltantes en Transaction Date,460,Se dejaron como NaT (no se imputó ninguna fecha),No existe ninguna columna que permita inferir la fecha real; inventar una fecha alteraría análisis de estacionalidad.
Filas sin ningún dato de venta recuperable,0,Eliminación de filas (0 casos encontrados),Umbral definido para descartar filas verdaderamente inservibles; no fue necesario aplicarlo en este dataset.
Valores atípicos en Quantity / Price Per Unit / Total Spent / fechas,0,"Revisión de rangos (describe(), catálogo de precios, año de las fechas); no se aplicó ningún filtro",Todos los valores caen dentro de los rangos de negocio esperados; eliminar sin evidencia real de anomalía descartaría datos válidos.
